Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
77,tt0108778,2018-01-22,2018-01-23,"Joey (Matt LeBlanc), the aspiring actor who is little  clueless about the real world, Chandler, (Matthew Perry), the sarcastic dude, Ross (David Schwimmer), a palaeontologist who just found out that his wife is a lesbian and is pregnant with their child, Monica (Courtney Cox), Ross?s sister and an aspiring chef who is also compulsively clean, Phoebe (Lisa Kudrow), a singer/masseuse who is spaying karma all over the place , and Rachel (Jennifer Aniston), the spoiled rich girl who just left her fiance at the alter and moves to Manhattan to start life on her own. How is the for a bunch of friends.
The series center on those friends and their lives in New York. Ho! by the way there all the black people in New York that is the thing most of the series took place with those friends who made relationship along the way but once in a great while you will meet a Black Woman, or Asian, and so on. If you are in New York well there is a mixed of people there I now that on I went to New York there is a little flaw in the series. And there were the crushes on each other plus the dating and the other stuff that went on in their life. The writing and acting is amazing plus the actors has chemistry big time. It is one of the best sitcom beside Seinfeld and the longest running.",Friends,https://www.imdb.com/title/tt0108778/,tvSeries,8.9,22,1994,"Comedy, Romance",652530,1994-09-22,
78,tt0098904,2018-01-22,2018-01-23,"Here is a show at first that I could not stand and I said to myself this is so bad. But 4 years has past I caught it on the rerun on UPN, then I said to myself dam! this is good what was I thinking not liking it before. Well it took 4 years for the rating to take off and thank God that NBC did not cancelled it. Seinfeld became one of the most influential series ever beamed over the airwaves. Running 9 seasons it pushed all boundaries. Before Seinfeld, would anyone have dared talk about masturbation or feminine hygiene products on a network sitcom? well that is a no-no not until Seinfeld came along. Seinfeld poke at every thing. The characters George, Jerry, Elaine, and even Kramer were dysfunctional people if you ever saw one.",Seinfeld,https://www.imdb.com/title/tt0098904/,tvSeries,8.9,22,1989,Comedy,219961,1989-07-05,
79,tt1826940,2018-01-22,2018-01-23,"New Girl, it is centered the new girl, Jess (Deschannel), who, after a bad break-up with her boyfriend, moves into a loft apartment with three guys. A quirky middle-school teacher with an off beat sense of humor and a love for all things cute, Jess has problems in her relationships with guys (and pretty much everyone else.)
This sitcom took a little time to get use to it. Jess is a little naïve, dives into the relationship too quickly and risk getting hurt, while trying to watch out for her friends. Her new roommates, Nick (Jake Johnson), Schmidt (Max Greenfield) and Winston (Lamorne Morris) have their own problems as well, whether with women, work or life in general. Bartender Nick, the group?s sad dude, has his own bad break-up to deal with, but he?s suffering from a lack of motivation , having dropped out of law school without a goal in sight.  Schmidt,  on the other hand is a wanna-be womanizer, which he has it together who is obsessed with style and labels. Winston has returned from his time playing basketball in Latvia, without a job or prospects, in terms of a career or a relationship. It is a perfect group for Jess to join in and their adventure begin. Give it some time on this one it is targeted for the young people who will relate to immediately.",New Girl,https://www.imdb.com/title/tt1826940/,tvSeries,7.7,22,2011,Comedy,168453,2011-09-20,
80,tt3501074,2018-01-22,2018-01-23,"Elizabeth (Théa Leoni)  is your leading lady, tougher and smarter than anyone around her, bucking convention to save the day and do what?s right. She has a family, every modern women balance their work and their family life. She is talented in what she does and finds solution to the problems at work and well in her personal life.
Her main obstacle seems to be the president?s Chief of Staff, Russell Jackson (Zeljko Ivanek). He won?t go away quickly,  as he clashes with Elizabeth as the series goes on. The cast are Tim Daly (Private Practice, Wings) as Elizabeth?s husband, Henry, a professor who catches many of his young female students? eyes, Evan Roe as Elizabeth?s self-described anarchist son, Jason, and Katherine Herzer as good daughter Alison. I like that the fact that the series revolves around both her work and he family life which she has a nice family ad understanding husband. It is moving just fine but the thing is it missing something do not get me wrong it is a nice series I do not know if it will go the distance, but it is worth a look.",Madam Secretary,https://www.imdb.com/title/tt3501074/,tvSeries,7.5,45,2014,Drama,16948,2014-09-21,
81,tt2632424,2018-01-22,2018-01-23,"First it is a spin-off from the vampire diaries and that does not guarantee a success for the Originals. But somehow it did here. The Original vampire / werewolf hybrid Klaus ends up in the French Quarter of New Orleans, having left the comfortable familiarity of Mystic Falls. He comes to find that his former protégé Marcus rules the city that Klaus. Marcus rules as tough as they some , having kicked out the werewolves and blocked witches from using their magic with a secret weapon of his own. Marcel?s rule becomes a problem when Klaus discovers that werewolf Hayley (Phoebe Tonkin), another former cast member of The Vampire Diaries, is pregnant with his baby.. It becomes an alliance as Marcel and Klaus battle for control of New Orleans, catching humans, vampires and witches in the struggle.
Here is a perfect watchable series. You have Klaus who is the nasty, misunderstood villain with a temperament, his brother Elijah is the smooth, polished polar opposite. Daniel Gillies adds a touch of class to the show as Elijah, the well dressed vampire holding the first vampire family together. Rebekah is the baby sister of the family and Klaus protects her to death, often leading to huge conflicts between them which threaten to ruin all of his  plans. Hayley  becomes fully fleshed out as Klaus?s baby?s mother. The pregnancy storyline adds more to the series  helping to make Klaus a more developed character. The first season kick ass here and it is addictive as hell.",The Originals,https://www.imdb.com/title/tt2632424/,tvSeries,8.3,45,2013,"Drama, Fantasy, Horror, Mystery",103483,2013-10-03,
82,tt4790548,2018-01-22,2018-01-23,"Here is a smart series from Netflix but shot in japan. A young country girl just out of school goes to work in the big city. The store is a high-end custom lingerie shop. There are wealthy customers who frequent the shop. It is a high-hand shop where every thing is made by hand, well they make lingerie. The obsessed and perfectionist owner, the assistant designers, the business manager, etc. The new girl who seems to know her fabric is trying to find her place in the shop. She is suppose to learn the business, not easy with an over obsessive boss who is a perfectionist.
At first they ask her to make coffee and do errands around the office, but the new girl Mayuko Tokitois (Mirei Kiritani) wants to learn and work. The Atelier has a front room it is the show room, then there is the atelier (work shop) where the employee works and makes by hand the lingerie. Again there is double door where the boos is Mayumi Nanjo. When the staff talks about her, she?s called The Boss. Tokitois has a hard time to please the boss which the boss is hard on her. Here is a terrific series produced by Netflix with subtitles. It show you the world of an Atelier and their employees and yes at time there are funny moments. It is like the film the Devil wear Prada but in a lingerie shop here and in Japan.",Underwear,https://www.imdb.com/title/tt4790548/,tvMiniSeries,7.5,50,2015,"Comedy, Drama",625,2015-09-02,
83,tt0052504,2018-01-22,2018-01-23,"Rawhide was pretty big back in the day and while it might be easy to dismiss it five decades since it was originally started showing on CBS in 1959, the show lasted eight seasons and remembered to this day ? and for good reason. Rawhide was a great show and it holds up well. One of those rare breed network shows to combine genuinely interesting and believable characters, exciting adventure, romance, action and suspense in a timeless setting: the old west.
Gil Favor (Eric Fleming) is a trail boss responsible for leading his group of cowboys from Texas to the northern states where they?re to drop off their herd. Gil is his right hand man, Rowdy Yates (Clint Eastwood), a tough guy (Yes you read right Clint Eastwood has gotten his start with the fine series), along with their crew, Gil and Rowdy encounter all manner of situations as their journey expands, from native Indians, thieves, bandits, cons, along with friendships, romance and camaraderie. there were a few well more than a few guest appearances from Leslie Nielsen to Lon Chaney Jr. to Dick Van Patten to DeForest Kelly, among others! Supporting Clint and Eric Fleming, who is also excellent in his lead role, are Sheb Wooley as Pete Nolan, Paul Brinegar as Wishbone, Steve Raines as Jim Quince, Rocky Shahan as Joe Scarlett and James Murdock as Mushy Mushgrove. Some of you might be too young to know who they were or are but if you get a old of this series I strongly recommend it.",Rawhide,https://www.imdb.com/title/tt0052504/,tvSeries,8.0,50,1959,Western,2745,1959-01-09,
84,tt0758790,2018-01-22,2018-01-23,"The series tells in a fictional and loosely adapted the story of the life of Henry VIII, his reign and his successive marriages.
Nice one there I do add myself. It is a great series who told the story their way in a fictionalized manner and it might piss off some historian but is it is entertaining as hell. By documenting the early years of his reign, The Tudor is able to catch Henry who at 18 was in power. Everyone knows about the fat, bearded, dangerously misogynistic Henry, but in his youthful years he was not only more physically agile and sexually adventurous so they tell us here  but also a bit more forward thinking. Of course, a lot of events didn?t go his way, and his anger would soon rise to cause woe. The Tudors doesn?t shy away from telling the story. Henry Tudor, Earl of Richmond, became King Henry VII at age 28 after defeating Richard III and later marrying Elizabeth of York. His rise was complicated and bloody, but his reign led to peace, and he eventually started the transition to his oldest son, Prince Arthur. Nice costume as authentic has it is going to get. The actors stand out in this series as well a job well done. Fun to watch although it does not shy away from the nudity or anything else.",The Tudors,https://www.imdb.com/title/tt0758790/,tvSeries,8.1,60,2007,"Drama, History, Romance, War",61591,2007-04-01,
85,tt2163315,2018-01-22,2018-01-23,"Dancing on the Edge takes place in the 1930s, exploring racial tensions in Europe when a jazz band, led by Louis (Chiwetel Ejiofor), begins to get attention in London, with help from journalist Stanley (Matthew Goode). There is also some problem with the booking of venues and immigration complications for one particular member, but Poliakoff wants to do something more with the story. The forbidding romance plus a dead body surfacing.
Here is a great mini-series from Britain where Jacquelin Bisset has won a golden globe for this one if I am not mistaken. It has 6 episodes of 1 hour and 30 minutes long. It is about this jazz nabs who is trying to make a name for themselves with the help of a journalist acting as the manager, but will encounter the difficulties of a black jazz band to make it big due to racism. There is a forbidding romance that will take in effects here well done by Poliakoff. There will be an incident that will set off a series of events.  Bisset?s performance is outstanding. The decor plus the music are great here it feels that you are really in the 30?s. An other British drama that kicks ass of course it is a period piece again but I love it.",Dancing on the Edge,https://www.imdb.com/title/tt2163315/,tvMiniSeries,7.5,,2013,Drama,2299,2013-02-04,
86,tt4192998,2018-01-22,2018-01-23,"In the near future, Jesper Berg, the new Prime Minister of Norway, announces that it has decided to honour an election promise by stopping the extraction of oil in the North Sea, the country can now meet its energy needs by thorium nuclear plants. The European Union very dependent on North Sea oil, reacted to this announcement by asking Russia, the USA has left NATO to intervene in Norway to ensure, by all means, the resumption of exploitation of oil platforms.
Here is a series from Norway and I do love those Norwegian series especially their thriller. Even Denmark makes great thriller series and movies. So I decided to take a look at this one and I like it .Occupied is, of course, a purely fictional series. But the Ukrainian conflict which broke out when at the turn of the wheel seems to have given it a realistic touch. The writers must of said to themselves what if? The script who is well written has a constant dramatic progression which builds up the tension into a pressure cooker. Conflict between nations, Occupied focuses on reactions to events of several characters: the Prime Minister, his bodyguard, the ambassador of Russia, a journalist and his wife operates a restaurant the interior minister should they deal in preserving some freedom, or should they resist and is it going to open doors for some other group to make things worst? Here is a series that you should get into at the end of the season one it is open for another season but no word yet. I think I heard a rumour that they will be a second season.",Okkupert,https://www.imdb.com/title/tt4192998/,tvSeries,7.7,45,2015,"Drama, Thriller",6195,2015-10-04,
87,tt3231564,2018-01-22,2018-01-23,"The Manhattan Project, America?s race to develop an atomic bomb during World War II, is surely one of the strangest chapters in American history. It is the race against the clock to to build an atomic bomb. They gathered the brightest mind in the country in the desert into a little town that the military build so their families could leave there. Security is tight well you know why, they have to keep things secret.
Okay so here is a series that is interesting to watch. They put their family in this artificial city with the brightest mind to build an Atomic bomb before anyone else. It is inspired loosely on real facts. There is history fact here but also they added fiction to make it interesting I suppose. Also real characters has made their entrance like Oppenheimer , Neils Bohr and Einstein has make brief appearances. Yes there is the jargon  of the physics and mathematics behind the atomic bomb and sometimes it can get boring but you are glued to the TV of this additive show. Then Bomb was created and scientist thought they could contribute to end the war. little did they know the impact of it. There is two stories here the one of the scientist trying to figure out to build the bomb and their family who is trying to fight boredom. They are teams of scientist who want to have their team to be the first to figure out this equation own this deadly A-Bomb. It never gets boring watching it as I thought It would be but interesting enough in wanting to see the next episode. Here is a terrific historic series that is worth watching.",Manhattan,https://www.imdb.com/title/tt3231564/,tvSeries,7.8,55,2014,"Drama, History, War",7142,2014-07-27,
88,tt3331514,2018-01-22,2018-01-23,"Mathias Freire (Jean-Hugues Anglade), psychiatrist, and Anaïs Chatelet (Raphaëlle Agogué), captain at the Bordeaux police station, have to work together on a series murders inspired by Greek mythology crimes. Mathias takes care of a man found near a crime scene and has lost his memory overnight. Little by little he sees himself into his patient and begins to ask questions. Did he have the same memory loss that his patient. Did he has memory loss which he is having a hard time of getting back. Did he have memory loss, did he suffer of  a mental fugue? Suddenly he takes off to try to answer those question.
It is a well thought out series that at the end will leave it open to get an other season out of it but I do not think it is going to happen due to the rating but I do like this series anyway. Well acted by Jean-Hugues Anglade an actor who diversified himself even has done American films. He plays a psychiatrist who takes a patient who was wandering at the scene of the crime. This event opened up in his own memory a bunch of question which is attached with one secret after an other. It is a pursuit of his own identity and might what happened. Is there someone pulling the string here. There is two stories that will merge with each other. It is suspenseful  enough and will keep you wanting more. I hope this is an other season but unfortunately I doubt it. By the way this series is from Europacorp the production company of Luc Besson.",Le passager,https://www.imdb.com/title/tt3331514/,tvMiniSeries,6.6,52,2014,Thriller,231,2014-02-28,
89,tt4635276,2018-01-22,2018-01-23,"Master of None is a different series by Netflix. What it is about well it is about of a lot of things. It?s a casually multicultural, multiracial comedy on how identity matters and it is dead on. Youth are blessed those days with technology taking it away can be paralysing. it is a charming comedy spoofed the modern consumer-bro with pop culture.
We are introduces us to Dev?s maybe-girlfriend, Rachel (Noël Wells), and his pals Arnold (Eric Wareheim), Brian (Kelvin Yu) and Denise (Lena Waithe) watching and observing their friends who has kids. Even ask them question if having kids is a good thing. Later in the next episodes it flashes back when their parent were immigrant and got into the country. Here is a series that have such diversity of culture that it clashes ad makes a bang. What I like is the diversity of subjects and culture in it where you don?t see that too much in sitcom. Master of None is the evolution of every day observations. Here is a terrific sitcom that should not be missed.",Master of None,https://www.imdb.com/title/tt4635276/,tvSeries,8.3,30,2015,Comedy,55608,2015-11-06,
90,tt2802850,2018-01-22,2018-01-23,"Season 2 is an all new true crime case of Fargo?s new chapter travels back to 1979 in Sioux Falls, South Dakota and Luverne, Minnesota, where a young State Police Officer investigates, a case where a local gang is involved with a crime mob family.
First nice cast in this season and a cool story from back in 1979 yeah the good old days. Lou Solverson (Patrick Wilson) who is married to Molly and has a father in law  Ted Dason) as a cop like himself gets involved in a crime where a local gang is involve in a crime mob family, well the mob wants their territory so they make an offer but you guessed it the local gang won?t have it and yes they were right to be suspicious of the deal. Of course you have the 1979 music, the cars, the fashion, even Ronald Reagan (Bruce Campbell), help sell that image. Lou is going through a tough time his wife is fighting cancer. An other story emerges Peggy Blumquist (Kirsten Dunst) a hoarder housewife her spouse, Ed (Jesse Plemons) is not the victim. Peggy is scared of event that she can?t control but does a good job to get out of them with out of scratch. A chain of event will follow and put in motion the story. Pay very attention at the last episode at the beginning it will reveal something interesting. Great second season here , have fun.",Fargo,https://www.imdb.com/title/tt2802850/,tvSeries,9.0,53,2014,"Crime, Drama, Thriller",265024,2014-04-15,
91,tt4258440,2018-01-22,2018-01-23,"The main character is John River, a Detective Inspector with the Police working in the East End of London. He is a genuinely complicated man, and he has a Swedish background, but he has obvious mental health issues he fights to control. He is a man who is a genius at his job but he is haunted my the murder of his partner.
Here is a detective who is a genius and is struggling with the fact that is partner is dead. Plus he hear and see people he shouldn?t, to top it all off is is seeing by the Police shrink who tries to help him with his struggle. I am not going to reveal much for those who has not seen the series. River is paired up with a new partner who is trying to understand him and does not know where he comes from. The music has some classic disco which triggers some fond memories of the 70?s. It is raw at its purest form to my knowledge it has not been told like this. It is an other series from Netflix that is kicking ass.",River,https://www.imdb.com/title/tt4258440/,tvMiniSeries,8.1,60,2015,"Crime, Drama, Mystery",15724,2015-10-13,
92,tt2575968,2018-01-22,2018-01-23,"Set in Aberystwyth, Wales, Hinterland we follows the talented but troubled DCI Tom Mathias (Richard Harrington, Bleak House), who finds himself back in deepest, darkest Wales after a decade working in London. On his first day in his new job Mathias is called out to investigate the suspicious disappearance of 64-year-old Helen Jenkins, whose quiet seaside bungalow is splattered with blood. His investigation leads him to an ancient ravine at Devil?s Bridge, before the trail leads him to a box of teeth and a abandoned children?s home.
Here is a Neo-Noir series that is grippy, dark, sombre, has a grayish feeling to it. The background is Wales in the winter where the weather is raising and snowing. The atmosphere is hanging with the appropriates music. There is a touch of realism here. Of course the town has some secrets that is reveals at a slow pace. Keep in mind there is 4 episodes of an hour an a half each. The chemistry of the actors is there as well as their outstanding performances. And yes there is a second season.",Hinterland,https://www.imdb.com/title/tt2575968/,tvSeries,7.6,90,2013,"Crime, Drama, Mystery",7401,2013-10-29,
93,tt0337792,2018-01-22,2018-01-23,"The series is set in the fictional town of Bradfield, which is assumed to lie within West Yorkshire. It follows the Major Incident Team (MIT) of Bradfield Metropolitan Police?s CID and the assistance provided to the detectives by clinical psychologist and serial offender profiler Dr. Tony Hill. All of the main episodes revolve around a serial killer whom Hill helps to track down by means of a profile, based on the killer?s actions.
Here is a great series that tracks down serial killers by the police with the help of Dr.Tony Hill (Robson Green), a slightly eccentric clinical and troubled psychologist who works part time with the police force of Bradford, England. He has a reputation of solving the case like a puzzle. Hermione Norris played Detective Inspector/Chief Inspector Carol Jordan of Bradford CID, who managed to rein Tony?s scattered abilities and make sense of them. Green is the lead of the show and he is brilliant. The show a cross CSI and law and order. They solve the cases of serial killer and tried to make sense of it. They are a good team here and who ever cast the series my hats goes to you. There are 6 episodes of one hour and 1/2 each, which is better this way. Here is an other one that you should look at.",Wire in the Blood,https://www.imdb.com/title/tt0337792/,tvSeries,8.4,69,2002,"Crime, Drama, Mystery, Thriller",6371,2002-07-12,
94,tt3687802,2018-01-22,2018-01-23,"Leah Morel, 17, disappeared the evening of the Music Festival in Lyon. Her family is distraught Julien father sets out to find her while the mother Florence tries to hold on.  Thomas  her brother did not escort her like her mother asked of him. The commander Molina,  who just arrived in the city, well he got transfer to Lyon,  is responsible for finding the girl. He will discover that the investigation is going to be difficult than expected and discover that every family has secrets.
Here is a terrific mini-series that is well written and well acted, even the dialogue stand out. This mini-series is inspired of a Spanish series as well as the American series Without a Trace and Broadchurch. Here is a young girl who leaves to go with her friends at the music festival in Lyon. Her brother supposes to meet her in the morning to escort her home after all a young seventeen year old along in the city at the early hour of the morning any thing could happen but he didn?t , well a teenager is a teenager and wants their privacy plus they want to be on their own. The mother is in mode of panic almost and calls her cell phone numerous time. It is about the Morel family the two brother has a restaurant in Lyon. One of them is a widow he lost his wife now what he has left is his daughter. Molina the detective is transferred to Lyon, he is just settle in when the case is drop on his lap. He has an angry father who is looking for his daughter and does not think that the police is doing enough. on the other hand the mother is trying to old on and blaming her son for not meeting her later. Of course there is twist and turn and one of the parents will go to the extreme to get his daughter back. Secrets are surfacing and the police is frustrated as well in the family. Well casted, and well acted here also the director has brought to the table a lot of realism into it.
There is 8 episodes and all of them are directed by Charlotte Brandström. The cinematography is outstanding plus I was able to see the city of Lyon which I am going to visit soon.",Disparue,https://www.imdb.com/title/tt3687802/,tvMiniSeries,7.3,52,2015,"Crime, Drama, Mystery",847,2015-04-22,
95,tt4322334,2018-01-22,2018-01-23,"Here is a terrific mini-series form the novel of Harlan Coben who said at one time it is better to do the mini-series than a movie like that you do not have to take out some stuff from the book. Thus is not the first time he sold the right of one of his book Guillaume Canet directed don?t tell anyone that one was done in a form of a movie. Plus in No second chances the main character is a man but there they revered it and made a woman.
Alice Lambert,(Alexandra Lamy) shot and wounded, learned that her husband was killed and her 6 month old baby, Tara, has disappeared. While the kidnappers ask for ransom , Alice asks for help to her in-laws and her friend the lawyer Louis Berthel (Lionel Abelanski).
Here is a nice series where a woman who got shot and woke up in a coma after a week is finding out that her husband is dead and her six-year-old baby gone. The police suspect her from the start and mess up the investigation instead of looking somewhere else. There is twist and turns in this series and every time you think you guessed it well surprise. Alice here who is an everyday woman will stop at nothing to get her child back. She will get involved of doing things behind the police?s back. Either party is frustrated about each other and can?t work with each other. A terrific role for Alexandra Lamy, an emotional role not easy to do of a desperate mother trying to find her child at any cost. also an old flame comes back in her life to help her out. A nice series where every turn is a twist waiting to happen.",Une chance de trop,https://www.imdb.com/title/tt4322334/,tvMiniSeries,7.3,52,2015,"Drama, Thriller",772,2015-10-05,
96,tt3490432,2018-01-22,2018-01-23,"Here is a series that has been copied from the British like I said they copy each other that is worth the look. Each episode is a citizen accused to commit a crime. In a form of flashback we are able to see how he got accused and seat on the accused bench in court.
Here is a series that is like a court series but instead to be like Law and order you see the accused on the bench then you look at his life back before he got accused until he seat on the bench awaiting the verdict from the judge. It comes in 6 episodes :
The story of Hellene: where her son got murdered and she is trying to find her murderer so she can be at peace with her.
The story of Laurent. After his wife motorcycle accident who left her paralysed, Lauret has a affair with her therapist.
The story of Martin. Learning of an attack of a young girl, A father suspect his own son.
The story of Sophie. a complex divorce begins.
The story of Simon: After witnesses an attack on a woman and cable to intervene, he falls in love with her.
The story of Claire. She discovers the man she is been chatting online is her student and is falling in love with her.
Here is the six story that you will discover. It is court drama done a little differently.",Accusé,https://www.imdb.com/title/tt3490432/,tvSeries,6.9,52,2015,"Crime, Drama",43,2015-01-14,
97,tt2707504,2018-01-22,2018-01-23,"Kader Sheriff loves his job. He is a detective in the city of Lyon France. He loves his job so much that he lives across the street. He is an unorthodox detective. He interrogate the victim in his home serving tea so they don?t stress too much as he says. He has a new partner coming in. He is also divorced and has one 15 years old daughter he share custody with his wife. He drives a 504 Peugeot super sport 1984. And as he says his training is to watch series like Starchy and Hutch, Kojack etc?..
Here is a series with humor light heated fun to watch. It is on Netflix in Europe. Here is a new partner coming in and Cherif is trying to break the ice but Adeline Briard (Carole Leblanc) won?t have it well not yet anyway. His daughter is getting him a hard time and it is not easy to raise a kid when you are a cop. The thing is with that series it is shot in Lyon and I get to see the city from time to time. Basically it is you typical series solving crime but it is done with humor on the light side. A show that all the family can watch. Adeline has a closet in her skeleton and Cherif is trying to warm up to her. The first season is just what the doctor ordered. What I like about this that you see in Cherif?s office you will see a poster of the film Shaft. He is a big fan of the cop American series as well as American police thrillers.",Cherif,https://www.imdb.com/title/tt2707504/,tvSeries,7.4,,2013,Crime,165,2013-10-25,
98,tt3355142,2018-01-22,2018-01-23,"A  chef, figure own a restaurant in Paris Named Le Paris, takes in  every year in his brigade a young offender on probation. Romain, just released from prison, arrives in this new world which blends of gastronomy and excellence. After a difficult integration, it shows a real talent and moves up the ranks.
Here is a terrific series with some twist and turn that is across drama and a thriller where the writing si intelligent and the direction of the story is original. The characters are very well incarnated as well acted and Clovis Cornillac shines here big time the role is just written for him in mind I suppose. Clovis is plays the role of the chef who owns the restaurant and this chef has a big head there is no second best for him. He except the best from his brigade and his sous-chef. Of course he comes with an ugly past and when he accept an ex-con in his kitchen this time it is not by accident he has chosen him. Basically the chef has skeleton in his closet. Plus the fact there is a suspicious character in the mixed. I will say no more. It is on Netflix in Europe and the season one will keep you wanting more I have all 6 episode in 2 days. You will be addicted. This cast has chemistry all the actors here shines. It is a joy to see such a cast at work here; as well as the writer as put the soul into it. it is a must see.",Chefs,https://www.imdb.com/title/tt3355142/,tvSeries,7.2,52,2015,Drama,157,2015-01-11,
99,tt1844624,2018-01-22,2018-01-23,"American Horror Story Asylum is an entirely different story, and the first two episodes set a very strong pace for the show, that is why I am doing this one season by season. The story takes places in a mental institution.  and by the way you get the same actors in different roles plus they added new faces. Each season is like a different mini-series that was a smart thing to do. In Asylum it takes place in a mental institution called Briarcliff in 1963. It is run by nuns and the head nun is Jessica Lange who is this tough bitch from hell and will stand at nothing and nobody will get on her way. You have the mad doctor who does experiment on  patients, an interracial couple of which one of them ends up in the institution. Lana Winters (Sarah Paulson), a shady journalist who is intent on exposing Briarcliff?s manifold abuses but something happens to her. To add it all off in the mix they add some strange characters from the institution who are the patient there for years. Plus a serial killer on the loose.
What more do you want this season 2 kick Ass big time and it is addictive as hell. It is a joy to see those actors pulling this off beautifully well. So trust me when I say this when you watch this series drink a bloody Mary like I did. And it is a perfect series to watch in October.",American Horror Story,https://www.imdb.com/title/tt1844624/,tvSeries,8.1,60,2011,"Drama, Horror, Thriller",246041,2011-10-05,
100,tt2372220,2018-01-22,2018-01-23,"The White Queen opens in the 15th Century, at the height of The War of the Roses; a battle for power between two houses ? York and Lancaster. King Edward (Max Irons) has taken over the throne. While riding through the countryside one day, he meets Elizabeth Rivers (Rebecca Ferguson) and there is love at first sight. They soon married And Elizabeth soon finds herself on the throne as queen. Lord Warwick (James Frain) does not like Elizabeth and plots against her. Elizabeth attempts to deliver a male heir to Edward, but there is a big turmoil  coming in the kingdom. Meanwhile Lady Margaret Beaufort (Amanda Hale) feels that her son, Henry Tudor, is the rightful heir to the throne and begins to manipulate the power to see it what will happen.
The white queen is a mini series that tells the British history in a detailed look at the turmoil time back then. You are going to pay attention to the story because there is so much going on and so many characters. And yes there is much backstabbing going on here bargaining and more back stabbing plus who is going to marry who to be in power. Yes there is arranged marriages back in the day that is what went on. There are witches magic just to get power and keep it flowing. It is a top-notch production with some awesome costumes design and beautiful cinematography. Ferguson delivers an outstanding role here as well as the others actors. Great story telling here as original as well. Here is a series worth looking at.",The White Queen,https://www.imdb.com/title/tt2372220/,tvMiniSeries,7.8,60,2013,"Drama, History, Romance, War",20164,2013-06-16,
101,tt3921180,2018-01-22,2018-01-25,"Here is series here from the film Scream from the 90?s and there it is working just fine. Now days they are going to make series out of the film. One station will do it the others will follow. Okay it is a teenager slasher series but it is addictive. There is a killer with a mask trying to kill and slash a bunch of teenagers. Our hero this time around is Emma Duvall (Willa Fitzgerald) of course you have you typical teenager a lesbian, a bisexual want to be, a dude who is obsessed with serial killer read about it, watches shows about it. A jock who is going to break up with his girlfriends and tries to get back with her a few dead bodies, a new guy in town, of course the police and a few more dead bodies. Did I mention the no so smart teenagers because if this was happening in my town i would seriously get out fast and never go back. Of course there is humour here and there. It can work here if they get down to business, the first season stand out and I think it will draw an audience. Plus some heavy weight producers like the Weinstein?s brother from the Weinstein company who used to own Miramax but sold it to Disney. Well that is it folks I hope it is not too much blood for you.",Scream: The TV Series,https://www.imdb.com/title/tt3921180/,tvSeries,7.3,45,2015,"Crime, Drama, Horror, Mystery, Thriller",29113,2015-06-30,
102,tt0247082,2018-01-22,2018-01-25,"Here is a series that has been a hit for many years. A bunch if investigators are trying to figure out who kill who as they gather the evidence that will tell them who got murdered. Las Vegas Police Department Crime Lab. Vegas may be working to clean up its image and attract family vacationers, but there remains plenty of darkness. Shit happens, Crime is very present in Las Vegas.
Gil Grissom (William Petersen), the logical head of the crime lab. Grissom is more than a boss to the rest of the gang. Captain Brass (Paul Guilfoyle) who runs the crime lab; after a young CSI  is killed in the line of duty, Brass goes back to homicide and Grissom becomes the boss. He brings in Sara Sidel (Jorja Fox) to conduct an impartial investigation. Straight-arrow Nick Stokes (George Eads) strikes up an unlikely relationship with a hooker (Krista Allen) whom he busts for robbing her clients; over a number of episodes, her fate threatens Nick?s career as an investigator. Smooth-talking Warrick Brown (Gary Dourdan) struggles from a gambling addiction and fights a crooked judge who knows too much about his habit. Ex-stripper Catherine Willows (Marg Helgenberger) fights to keep a balance between her life in the dark world of the crime lab and her private life as a single parent, not easy to raise a child in the world that you see everyday with it full of crimes, trying to protect her from it is an other story.
What  I like about it is that they bring characters that have flaws and struggling with life. The characters evolves over the years in a well written script. You will see the tools that they use in order to solve the crime and to present it for the court system. Yes there is technical jargon which they explain. The problem with the series is that now the real CSI have a hard time solving crime because of the show, criminal are watching the show. I could have told them that. The thing is it is never been done like that. This is s huge franchise that made a lot of money for the studio as well as the producers. Entertaining as hell as wells addictive.",CSI: Crime Scene Investigation,https://www.imdb.com/title/tt0247082/,tvSeries,7.7,60,2000,"Crime, Drama, Mystery, Thriller",72749,2000-10-06,
